tissue,stressor,module,feature_name,feature_type,mean_score,median_score,sign_concordance,n_contrasts,n_panel_genes,n_measured,label,evidence_tier,source,anchor_note,light_dependent_rewiring
whole_seedling,GCR,Hormone transport,Hormone_transporters_NPF,pathway_score,0.0022,0.0022,0.5,2.0,6.0,4.0,rewired,T1,pathway_scores_all.csv,+0.067@80cGy,False
whole_seedling,GCR,Hormone transport,Hub_transporter_core,pathway_score,-0.0923,-0.0923,0.5,2.0,5.0,4.0,rewired,T1,pathway_scores_all.csv,-0.226@40cGy,False
whole_seedling,GCR,DNA repair,Mismatch repair,pathway_score,-0.028,-0.028,1.0,2.0,32.0,32.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.053@40cGy,False
whole_seedling,GCR,DNA repair,Non-homologous end-joining,pathway_score,-0.0411,-0.0411,0.5,2.0,8.0,8.0,rewired,T1,pathway_scores_all.csv,-0.087@40cGy,False
whole_seedling,GCR,DNA repair,Nucleotide excision repair,pathway_score,0.0107,0.0107,0.5,2.0,85.0,78.0,rewired,T1,pathway_scores_all.csv,+0.024@80cGy,False
whole_seedling,GCR,Light perception,Photoreceptors,pathway_score,0.0277,0.0277,1.0,2.0,10.0,10.0,modestly_activated,T1,pathway_scores_all.csv,+0.028@80cGy,False
whole_seedling,GCR,Photosynthesis,Photosynthesis,pathway_score,-0.0537,-0.0537,0.5,2.0,46.0,45.0,rewired,T1,pathway_scores_all.csv,-0.121@80cGy,False
whole_seedling,GCR,Photosynthesis,Photosynthesis - antenna proteins,pathway_score,-0.1412,-0.1412,1.0,2.0,22.0,21.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.245@80cGy,False
whole_seedling,GCR,Hormone signaling,Plant hormone signal transduction,pathway_score,0.0215,0.0215,0.5,2.0,433.0,376.0,rewired,T1,pathway_scores_all.csv,+0.047@80cGy,False
whole_seedling,GCR,ROS metabolism,ROS_core_NMF,pathway_score,-0.1246,-0.1246,1.0,2.0,10.0,9.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.175@80cGy,False
whole_seedling,GCR,ROS metabolism,ROS_scavenging,pathway_score,-0.1013,-0.1013,1.0,2.0,24.0,22.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.128@40cGy,False
whole_seedling,GCR,Hormone transport,Sugar_transporters_SWEET,pathway_score,-0.3497,-0.3497,1.0,2.0,11.0,8.0,suppressed,T1,pathway_scores_all.csv,-0.413@40cGy,False
root,NMF,NMF cluster pseudo-pathway,NMF_cluster_A,cluster_pseudo_pathway,-0.0821,-0.0382,0.857,7.0,33.0,33.0,modestly_suppressed,T1,nmf_cluster_profile.csv,,False
shoot,NMF,NMF cluster pseudo-pathway,NMF_cluster_A,cluster_pseudo_pathway,0.3557,0.3133,0.857,7.0,33.0,33.0,activated,T1,nmf_cluster_profile.csv,,False
